key,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cardholder_presence,card_presence
a63aecbf-47c8-4d94-9ef5-e4b01f4c32ff,2022-03-21T06:25:52Z,ECOMMERCE,2,CARD_ON_FILE,24.52,0.0,CA,06,0,0
81a9284a-a500-40cc-ab3a-a6f71029f717,2022-03-21T06:20:51Z,ECOMMERCE,16,CARD_ON_FILE,254.99,5305.57,CA,06,0,0
a8563d00-e6de-46b3-9efd-cc8dd8841c4b,2022-03-21T06:14:34Z,ECOMMERCE,11,CARD_ON_FILE,999.52,5560.56,CA,06,0,0
716e8cac-3f05-4b4f-b05f-4018699c1ec8,2022-03-21T06:07:20Z,ECOMMERCE,3,CARD_ON_FILE,33.99,0.0,CA,06,0,0
5bc672a7-8f1a-42aa-80db-89105b31b3db,2022-03-21T06:06:35Z,ECOMMERCE,16,CARD_ON_FILE,598.95,2770.66,CA,06,0,0
c2f3a9d9-6f1a-4cb0-8620-50058e569f75,2022-03-21T06:05:52Z,ECOMMERCE,15,CARD_ON_FILE,578.99,6560.08,CA,06,0,0
3771181c-618f-45df-9b5d-d10259d62494,2022-03-21T05:49:13Z,ECOMMERCE,10,CARD_ON_FILE,1935.96,3369.61,CA,06,0,0
bc4fa804-2c38-4245-bbce-eae9f01a381c,2022-03-21T05:01:25Z,ECOMMERCE,1,CARD_ON_FILE,4.2,286.93,NY,36,0,0
1d6123a9-9592-4aad-9926-81e93609a944,2022-03-21T04:58:57Z,ECOMMERCE,1,CARD_ON_FILE,1.46,291.13,NY,36,0,0
f7086cde-e77c-48d5-aafa-9c9608f11ad2,2022-03-21T04:57:00Z,ECOMMERCE,1,CARD_ON_FILE,4.33,363.45,NY,36,0,0
fb45d29f-2aed-4552-b18c-228a6cd35591,2022-03-21T04:54:38Z,ECOMMERCE,1,CARD_ON_FILE,2.14,367.78,NY,36,0,0
fc588fdc-6f11-450a-9f76-a52e710ac733,2022-03-21T04:51:20Z,ECOMMERCE,1,CARD_ON_FILE,4.73,369.92,NY,36,0,0
ba0497db-7be4-45fa-a083-5d97fc2a2425,2022-03-21T04:48:54Z,ECOMMERCE,1,CARD_ON_FILE,8.6,374.65,NY,36,0,0
09245562-e07f-471d-ab6e-5bd5822ee234,2022-03-21T04:46:46Z,ECOMMERCE,1,CARD_ON_FILE,2.15,383.25,NY,36,0,0
085f111f-d3ae-4b3b-b2c7-cbb2ea76b98c,2022-03-21T04:44:01Z,ECOMMERCE,1,CARD_ON_FILE,3.14,292.59,NY,36,0,0
c375d79e-b2b0-4273-8140-f73cc67dd446,2022-03-21T04:27:21Z,OTHER,12,CHIP,10.99,130.17,NV,32,1,1
a2b9c62e-4ba2-4ff8-9ded-d36069a64a30,2022-03-21T04:18:46Z,ECOMMERCE,1,MANUAL,3.18,36.81,WA,53,0,0
28ef1dab-1d6b-494c-8b58-48c75471feb3,2022-03-21T04:12:03Z,ECOMMERCE,5,MANUAL,510.65,0.0,WA,53,0,0
061ba176-2f07-49ec-91b2-7c69672a9777,2022-03-21T03:51:22Z,OTHER,6,CHIP,12.1,82.72,TX,48,1,1
45bc225b-84f4-48ca-80e4-1b29a25635c3,2022-03-21T03:43:38Z,OTHER,13,CHIP,399.84,47.96,WA,53,1,1
69ac047d-0782-4eb2-adc6-417de8d641b6,2022-03-21T03:42:54Z,MOTO,1,CARD_ON_FILE,17.01,357.65,NY,36,0,0
1e51627c-14ae-43d2-95e6-2575000044cf,2022-03-21T03:40:09Z,ECOMMERCE,10,MANUAL,95.0,0.0,CA,06,0,0
d1b5197e-7b0a-4f20-9bc3-eb6c13c0f59f,2022-03-21T03:30:35Z,OTHER,5,CHIP,178.23,885.29,CA,06,1,1
4dec3f54-ce56-4c2d-9f94-dc369fab963a,2022-03-21T03:16:21Z,ECOMMERCE,9,CARD_ON_FILE,320.0,0.0,CA,06,0,0
d73b6467-a280-4ded-afc4-8b8f0bfb80ea,2022-03-21T03:12:49Z,ECOMMERCE,2,CARD_ON_FILE,17.35,260.88,CA,06,0,0
fd2eb55c-faee-463e-93f7-a8620084522f,2022-03-21T02:57:09Z,ECOMMERCE,18,MANUAL,515.2,1772.27,WA,53,0,0
e8d1ed50-c37b-4969-a430-f31cda999dd0,2022-03-21T02:55:09Z,ECOMMERCE,1,MANUAL,12.58,176.66,OH,39,0,0
a733a03d-87da-4562-8266-f7910cddbd71,2022-03-21T02:52:58Z,ECOMMERCE,1,CARD_ON_FILE,5.2,295.73,NY,36,0,0
77e93272-525d-4aa5-988d-1a052f3950d4,2022-03-21T02:50:49Z,ECOMMERCE,1,CARD_ON_FILE,4.77,300.93,NY,36,0,0
738c7126-f28d-4f27-99a8-40bf256aab1a,2022-03-21T02:49:02Z,ECOMMERCE,1,CARD_ON_FILE,5.25,385.4,NY,36,0,0
2634f40d-aa14-48dc-bed1-2a64336ccd81,2022-03-21T02:48:18Z,OTHER,1,CHIP,19.4,0.0,TX,48,1,1
fc1ccb1f-3fe5-4ba2-ad30-2d517918c49f,2022-03-21T02:47:11Z,ECOMMERCE,1,MANUAL,13.46,319.85,OH,39,0,0
b3ae4f6b-53b6-4c84-b95f-6b346d14c2c0,2022-03-21T02:47:09Z,ECOMMERCE,1,CARD_ON_FILE,3.53,390.65,NY,36,0,0
f584d7e4-a78c-469e-a05a-a3bba1776909,2022-03-21T02:45:14Z,ECOMMERCE,1,CARD_ON_FILE,2.27,394.18,NY,36,0,0
b94d3ae8-e48c-4b30-811f-b1b8ab937975,2022-03-21T02:45:06Z,ECOMMERCE,1,MANUAL,12.58,71.1,OH,39,0,0
18142acc-3e24-420f-bf30-77f8375932f6,2022-03-21T02:44:41Z,ECOMMERCE,1,MANUAL,7.41,236.12,WA,53,0,0
54c1f830-b131-4148-8122-1cd085281edb,2022-03-21T02:43:25Z,ECOMMERCE,1,CARD_ON_FILE,1.92,305.7,NY,36,0,0
032e3a57-4fe4-45bb-aed3-28456d91927e,2022-03-21T02:43:18Z,ECOMMERCE,1,MANUAL,13.46,123.98,OH,39,0,0
ab01a346-4bee-4783-bdbb-ef163b3f2936,2022-03-21T02:42:17Z,ECOMMERCE,1,MANUAL,14.2,103.29,WY,56,0,0
2be030f8-ff73-45c3-a875-fda67974d7c3,2022-03-21T02:41:27Z,OTHER,30,CHIP_FALLBACK,29.96,0.0,TX,48,1,1
df1f4877-952f-4a8b-98ae-948173857943,2022-03-21T02:41:11Z,ECOMMERCE,1,CARD_ON_FILE,5.29,307.62,NY,36,0,0
5e3a0229-e62f-47c8-be1e-8ab0d8e0d6b3,2022-03-21T02:41:07Z,ECOMMERCE,1,CARD_ON_FILE,0.01,83.4,MN,27,0,0
8a50cf30-d78d-47d2-92bf-5247346739aa,2022-03-21T02:39:31Z,ECOMMERCE,1,CARD_ON_FILE,2.95,312.91,NY,36,0,0
331b26d4-05ac-4754-8b2e-c5cff51b284a,2022-03-21T02:37:39Z,OTHER,1,CHIP,222.87,15.61,CA,06,1,1
a9ded8ff-a3b3-458b-9ce6-bc7136095cf9,2022-03-21T02:36:31Z,ECOMMERCE,1,CARD_ON_FILE,4.32,396.45,NY,36,0,0
614a9da7-45f2-4fb9-b7b2-f3c3c73394ff,2022-03-21T02:36:19Z,ECOMMERCE,2,MANUAL,13.52,837.1,OH,39,0,0
e9fe2d78-f077-43de-8541-462dc3d6d2c9,2022-03-21T02:34:18Z,ECOMMERCE,1,CARD_ON_FILE,9.85,400.77,NY,36,0,0
0d4e8a9a-88f1-4c74-b91b-4d188176b01d,2022-03-21T02:34:08Z,ECOMMERCE,2,MANUAL,13.59,110.39,OH,39,0,0
1a4dfdf3-adbc-43d9-9ac8-256647079f22,2022-03-21T02:32:22Z,ECOMMERCE,2,MANUAL,13.83,595.37,OH,39,0,0
209bc8b4-984a-4d0a-8d8c-0a4af70f3392,2022-03-21T02:31:31Z,ECOMMERCE,1,CARD_ON_FILE,5.05,410.62,NY,36,0,0
3497151f-023f-4b8c-9f6d-73f7cd4758f2,2022-03-21T02:30:01Z,ECOMMERCE,1,MANUAL,12.58,669.63,OH,39,0,0
ecc1d358-7dee-4dda-8a32-eb6146678e9c,2022-03-21T02:28:24Z,ECOMMERCE,1,CARD_ON_FILE,5.22,315.86,NY,36,0,0
db701e3a-f2a9-4a54-b8e8-221aa24b7fbf,2022-03-21T02:25:09Z,MOTO,17,MANUAL,100.0,219.53,WA,53,0,0
ca123520-4dda-4d87-a0fc-fbd9b9a1ce95,2022-03-21T02:21:20Z,ECOMMERCE,1,CARD_ON_FILE,5.35,321.08,NY,36,0,0
4f3f5cc5-295c-4df8-be72-66433ace2b5e,2022-03-21T02:19:33Z,ECOMMERCE,1,CARD_ON_FILE,7.48,415.67,NY,36,0,0
56c455c7-284e-43a1-af09-95f3149feb35,2022-03-21T02:16:49Z,MOTO,22,CARD_ON_FILE,100.63,7.89,CA,06,0,0
18af0f27-b458-41bb-b99b-2dcaa4d8051f,2022-03-21T02:16:27Z,ECOMMERCE,9,MANUAL,14.59,0.0,,,0,0
62082e68-8e6d-4b45-bcd1-d562a806141c,2022-03-21T02:14:57Z,ECOMMERCE,1,CARD_ON_FILE,5.33,423.15,NY,36,0,0
a5c71340-4c2e-416b-b721-c6cbdb2a8d9c,2022-03-21T02:06:36Z,ECOMMERCE,2,MANUAL,20.27,649.36,OH,39,0,0
