Pcard Transactions Acceptor Name,Pcard Transactions Cc Acceptor Country,Pcard Transactions Credit (Yes / No),Pcard Transactions Declined (Yes / No),Pcard Transactions Processing Type,Pcard Transactions Transaction Risk Score,Pcard Transactions Card Presence,Pcard Transactions Cardholder Presence,Pcard Transactions Fraud (Yes / No)
EL VEZ,US,No,No,MANUAL,18,1,1,Yes
TRACFONE    AIRTIME,US,No,No,MANUAL,31,0,0,Yes
"MYSMARTBLINDS, INC",US,No,No,,,,,Yes
ETSGRE Exam,US,No,No,MANUAL,43,0,0,Yes
OFFICE DEPOT,US,No,No,CARD_ON_FILE,28,0,0,Yes
SOLES-SNIPES,US,No,No,CHIP_FALLBACK,98,1,1,Yes
WAL-MART,US,No,No,MANUAL,60,1,1,Yes
BESTBUY,US,No,No,MANUAL,28,0,0,Yes
EDDIE V'S,US,No,No,MANUAL,40,1,0,Yes
ETTTheAlexanRENT,US,No,No,MANUAL,16,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,49,0,0,Yes
FTD.COM,US,No,No,UNKNOWN,24,0,0,Yes
COSTCO ONLINE RX,US,No,No,MANUAL,1,0,0,Yes
PARC RESTAURANT,US,No,No,MANUAL,14,1,1,Yes
WM SUPERCENTER,US,No,No,MANUAL,97,1,0,Yes
RIEH'S FLORIST LLC,US,No,No,MANUAL,17,1,0,Yes
STOP & SHOP,US,No,No,CHIP_FALLBACK,97,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,41,0,0,Yes
NORDSTROM,US,No,No,CHIP_FALLBACK,93,1,1,Yes
WAL-MART,US,No,No,MANUAL,85,1,0,Yes
HOLLYWOOD HAIR,US,No,No,MANUAL,22,0,0,Yes
BEST BUY,US,No,No,MANUAL,22,0,0,Yes
FRETTE,IT,No,No,MANUAL,54,0,0,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,73,0,0,Yes
WAL-MART,US,No,No,MANUAL,32,1,1,Yes
REEF RESTAURANT,US,No,No,MANUAL,29,1,0,Yes
DU (EITC),AE,No,No,MANUAL,99,0,0,Yes
STACKCOMME SC ZDNET,US,No,No,MANUAL,13,0,0,Yes
TOKLAT ORIGINALS,US,No,No,MANUAL,1,0,0,Yes
PARC RESTAURANT,US,No,No,MANUAL,18,1,1,Yes
DU (EITC),AE,No,No,MANUAL,91,0,0,Yes
PIZZA HUT,US,No,No,MANUAL,27,0,0,Yes
CUSTOMER SERVICE CENTER,US,No,No,MANUAL,34,0,0,Yes
LYFT   RIDE SAT AM,US,No,No,MANUAL,19,0,0,Yes
Oman Air,AE,No,No,MANUAL,70,0,0,Yes
NEOPOST FRANCE,FR,No,No,MANUAL,51,0,0,Yes
EL VEZ,US,No,No,MANUAL,22,1,1,Yes
SQ FANZONE,US,No,No,MAGSTRIPE,96,1,1,Yes
COLISEXPAT,FR,No,No,MANUAL,53,0,0,Yes
Amazon PrimeUJRXCG,US,No,No,MANUAL,2,0,0,Yes
Emicool Plus Cooling C,AE,No,No,MANUAL,99,0,0,Yes
MASTRO'S-BEVERLY HILLS,US,No,No,MANUAL,24,1,1,Yes
PARC RESTAURANT,US,No,No,MANUAL,15,1,1,Yes
BUDDAKAN,US,No,No,MANUAL,30,1,1,Yes
PARC RESTAURANT,US,No,No,MANUAL,23,1,1,Yes
MIHOYO LIMITED,HK,No,No,MANUAL,45,0,0,Yes
FINISH LINE,US,No,No,CHIP_FALLBACK,99,1,1,Yes
PARC RESTAURANT,US,No,No,MANUAL,11,1,1,Yes
TARGET,US,No,No,CHIP_FALLBACK,97,1,1,Yes
HALFORDS ON LINE,GB,No,No,MANUAL,46,0,0,Yes
CHECKER TAXI(SANWAKOTSU),JP,No,No,MAGSTRIPE,28,1,1,Yes
RIEH'S FLORIST LLC,US,No,No,MANUAL,5,1,1,Yes
LULULEMONCHERRYHILL,US,No,No,CHIP_FALLBACK,72,1,1,Yes
BEST BUY MHT,US,No,No,CHIP_FALLBACK,98,1,1,Yes
TARGET,US,No,No,CHIP_FALLBACK,99,1,1,Yes
WAL-MART,US,No,No,MANUAL,94,1,0,Yes
FAWRY,EG,No,No,MANUAL,80,0,0,Yes
EDDIE V'S,US,No,No,MANUAL,33,1,0,Yes
TARGET,US,No,No,CHIP_FALLBACK,95,1,1,Yes
OVRO.CO/OVERSTOCK.COM,US,No,No,MANUAL,6,0,0,Yes
PROSPERITY TRAINING TECHN,US,No,No,MANUAL,22,0,0,Yes
